Project #,Project Name,Category,Status,Priority,Hardware Needed,Blocker/Next Step,Content Potential,Sponsor Relevance,Est. Completion,Notes
1,Resin Hex Tiles,Art/Manufacturing,Ongoing,Medium,Vacuum chamber + UV oven + resins,None - active production,High - process videos,Low,,Custom glow resin formula
2,PCB Matrix Boards,Electronics/LED,85% Complete,HIGH,Finalize PCB design,PCB fab order,Very High - build series,SEEED (Xiao controllers),2 weeks,Modular LED display with magnetic connectors
3,Magnetic Lock Controller,Smart Home,Hardware Complete,HIGH,Firmware completion,Matter protocol integration,Medium,SEEED (ESP32-C6),1 week,Custom Decora switch housing
4,Glass LED Fuse Tubes,Components/LED,60+ Units Made,Medium,Production scaling,Tutorial content,Very High - unique technique,Low,,Solder-sealed 6x30mm tubes
5,12-LED Circular Clock,Electronics/Display,Hardware Complete,Medium,Firmware specification,Arduino firmware dev,High - Christmas project,Low,3 weeks,RP2040 + WS2811 RGB clock
6,LED Raygun,Props/Cosplay,Planning,Low,8-inch glass straws (ordered),Component integration,High - convention content,Low,,RC battery powered
7,Biomimetic AI System,Research/Software,Architecture Design,VERY HIGH,None - 3090 ready,Lobe implementation,Extremely High - novel research,Low,3+ months,Qwen + Mistral dual-hemisphere
8,Smart Mirror,Electronics/Display,Complete,Low,None,None - operational,Medium - retrospective,Low,DONE,496 LEDs + temp sensing
9,Star Trek Combadge,Wearable/Audio,Complete,Low,None,None - finished,Medium - showcase,Low,DONE,Auracast audio system
10,nRF54L15 Reference Design,Development/Firmware,Complete + Published,Low,None,None - official release,High - reference material,SEEED (official),DONE,github.com/Toastee0/Seeed-Xiao-nRF54L15
11,Auddesse CMSIS-DAP,Professional/Debug,Complete,Low,None,None - delivered,Low,Low,DONE,Stock options compensation
12,8x96 LED Marquee,Electronics/Display,Designed,Medium,PCB fabrication order,Order PCBs,High - public display,Low,,768 LEDs scrolling text
13,64x64 LED Panel Frame,Electronics/Display,Frame Acquired,Medium,4x 32x32 panels + controller,Panel wiring + RP2040 install,High - art display,Low,,4096 addressable LEDs
14,Light-Up Cane,Wearable/Safety,Concept,Low,LED strip + RP2040 + battery,Design + fabrication,Medium,Low,,Motion-reactive walking cane
15,Salt Crystal Diffusers,Art/Lighting,Concept,Low,Salt rocks + LEDs,Material sourcing,Medium - aesthetic,Low,,Himalayan salt style
16,Home Server (toastee.ca),Infrastructure/Hosting,Domain Acquired,Medium,Server hardware staged,Setup + configuration,Low,Low,,Self-hosted services
